Name,Salary,log Salary,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,League,Division,PutOuts,Assists,Errors,NewLeague
Andy Allanson,,,293,66,1,30,29,14,1,A,E,446,33,20,A
Alan Ashby,475,6.163314804,315,81,7,24,38,39,14,N,W,632,43,10,N
Alvin Davis,480,6.173786104,479,130,18,66,72,76,3,A,W,880,82,14,A
Andre Dawson,500,6.214608098,496,141,20,65,78,37,11,N,E,200,11,3,N
Andres Galarraga,91.5,4.516338972,321,87,10,39,42,30,2,N,E,805,40,4,N
Alfredo Griffin,750,6.620073207,594,169,4,74,51,35,11,A,W,282,421,25,A
Al Newman,70,4.248495242,185,37,1,23,8,21,2,N,E,76,127,7,A
Argenis Salazar,100,4.605170186,298,73,0,24,24,7,3,A,W,121,283,9,A
Andres Thomas,75,4.317488114,323,81,6,26,32,8,2,N,W,143,290,19,N
Andre Thornton,1100,7.003065459,401,92,17,49,66,65,13,A,E,0,0,0,A
Alan Trammell,517.143,6.248319432,574,159,21,107,75,59,10,A,E,238,445,22,A
Alex Trevino,512.5,6.239300711,202,53,4,31,26,27,9,N,W,304,45,11,N
Andy VanSlyke,550,6.309918278,418,113,13,48,61,47,4,N,E,211,11,7,N
Alan Wiggins,700,6.551080335,239,60,0,30,11,22,6,A,E,121,151,6,A
Bill Almon,240,5.480638923,196,43,7,29,27,30,13,N,E,80,45,8,N
Billy Beane,,,183,39,3,20,15,11,3,A,W,118,0,0,A
Buddy Bell,775,6.652863029,568,158,20,89,75,73,15,N,W,105,290,10,N
Buddy Biancalana,175,5.164785974,190,46,2,24,8,15,5,A,W,102,177,16,A
Bruce Bochte,,,407,104,6,57,43,65,12,A,W,912,88,9,A
Bruce Bochy,135,4.905274778,127,32,8,16,22,14,8,N,W,202,22,2,N
Barry Bonds,100,4.605170186,413,92,16,72,48,65,1,N,E,280,9,5,N
Bobby Bonilla,115,4.744932128,426,109,3,55,43,62,1,A,W,361,22,2,N
Bob Boone,,,22,10,1,4,2,1,6,A,W,812,84,11,A
Bob Brenly,600,6.396929655,472,116,16,60,62,74,6,N,W,518,55,3,N
Bill Buckner,776.667,6.655011687,629,168,18,73,102,40,18,A,E,1067,157,14,A
Brett Butler,765,6.639875834,587,163,4,92,51,70,6,A,E,434,9,3,A
Bob Dernier,708.333,6.562914322,324,73,4,32,18,22,7,N,E,222,3,3,N
Bo Diaz,750,6.620073207,474,129,10,50,56,40,10,N,W,732,83,13,N
Bill Doran,625,6.43775165,550,152,6,92,37,81,5,N,W,262,329,16,N
Brian Downing,900,6.802394763,513,137,20,90,95,90,14,A,W,267,5,3,A
Bobby Grich,,,313,84,9,42,30,39,17,A,W,127,221,7,A
Billy Hatcher,110,4.700480366,419,108,6,55,36,22,3,N,W,226,7,4,N
Bob Horner,,,517,141,27,70,87,52,9,N,W,1378,102,8,N
Brook Jacoby,612.5,6.417548942,583,168,17,83,80,56,5,A,E,109,292,25,A
Bob Kearney,300,5.703782475,204,49,6,23,25,12,7,A,W,419,46,5,A
Bill Madlock,850,6.74523635,379,106,10,38,60,30,14,N,W,72,170,24,N
Bobby Meacham,,,161,36,0,19,10,17,4,A,E,70,149,12,A
Bob Melvin,90,4.49980967,268,60,5,24,25,15,2,N,W,442,59,6,N
Ben Oglivie,,,346,98,5,31,53,30,16,A,E,0,0,0,A
Bip Roberts,,,241,61,1,34,12,14,1,N,W,166,172,10,N
BillyJo Robidoux,67.5,4.212127598,181,41,1,15,21,33,2,A,E,326,29,5,A
Bill Russell,,,216,54,0,21,18,15,18,N,W,103,84,5,N
Billy SAMPLE,,,200,57,6,23,14,14,9,N,W,69,1,1,N
Bill Schroeder,180,5.192956851,217,46,7,32,19,9,4,A,E,307,25,1,A
Butch Wynegar,,,194,40,7,19,29,30,11,A,E,325,22,2,A
Chris Bando,305,5.720311777,254,68,2,28,26,22,6,A,E,359,30,4,A
Chris Brown,215,5.370638028,416,132,7,57,49,33,3,N,W,73,177,18,N
Carmen Castillo,247.5,5.511410582,205,57,8,34,32,9,5,A,E,58,4,4,A
Cecil Cooper,,,542,140,12,46,75,41,16,A,E,697,61,9,A
Chili Davis,815,6.703188113,526,146,13,71,70,84,6,N,W,303,9,9,N
Carlton Fisk,875,6.774223886,457,101,14,42,63,22,17,A,W,389,39,4,A
Curt Ford,70,4.248495242,214,53,2,30,29,23,2,N,E,109,7,3,N
Cliff Johnson,,,19,7,0,1,2,1,4,A,E,0,0,0,A
Carney Lansford,1200,7.090076836,591,168,19,80,72,39,9,A,W,67,147,4,A
Chet Lemon,675,6.514712691,403,101,12,45,53,39,12,A,E,316,6,5,A
Candy Maldonado,415,6.02827852,405,102,18,49,85,20,6,N,W,161,10,3,N
Carmelo Martinez,340,5.828945618,244,58,9,28,25,35,4,N,W,142,14,2,N
Charlie Moore,,,235,61,3,24,39,21,14,A,E,425,43,4,A
Craig Reynolds,416.667,6.032287342,313,78,6,32,41,12,12,N,W,106,206,7,N
Cal Ripken,1350,7.207859871,627,177,25,98,81,70,6,A,E,240,482,13,A
Cory Snyder,90,4.49980967,416,113,24,58,69,16,1,A,E,203,70,10,A
Chris Speier,275,5.616771098,155,44,6,21,23,15,16,N,E,53,88,3,N
Curt Wilkerson,230,5.438079309,236,56,0,27,15,11,4,A,W,125,199,13,A
Dave Anderson,225,5.416100402,216,53,1,31,15,22,4,N,W,73,152,11,N
Doug Baker,,,24,3,0,1,0,2,3,A,W,80,4,0,A
Don Baylor,950,6.856461985,585,139,31,93,94,62,17,A,E,0,0,0,A
Dann Bilardello,,,191,37,4,12,17,14,4,N,E,391,38,8,N
Daryl Boston,75,4.317488114,199,53,5,29,22,21,3,A,W,152,3,5,A
Darnell Coles,105,4.65396035,521,142,20,67,86,45,4,A,E,107,242,23,A
Dave Collins,,,419,113,1,44,27,44,12,A,E,211,2,1,A
Dave Concepcion,320,5.768320996,311,81,3,42,30,26,17,N,W,153,223,10,N
Darren Daulton,,,138,31,8,18,21,38,3,N,E,244,21,4,N
Doug DeCinces,850,6.74523635,512,131,26,69,96,52,14,A,W,119,216,12,A
Darrell Evans,535,6.282266747,507,122,29,78,85,91,18,A,E,808,108,2,A
Dwight Evans,933.333,6.83876205,529,137,26,86,97,97,15,A,E,280,10,5,A
Damaso Garcia,850,6.74523635,424,119,6,57,46,13,9,A,E,224,286,8,N
Dan Gladden,210,5.347107531,351,97,4,55,29,39,4,N,W,226,7,3,A
Danny Heep,,,195,55,5,24,33,30,8,N,E,83,2,1,N
Dave Henderson,325,5.783825182,388,103,15,59,47,39,6,A,W,182,9,4,A
Donnie Hill,275,5.616771098,339,96,4,37,29,23,4,A,W,104,213,9,A
Dave Kingman,,,561,118,35,70,94,33,16,A,W,463,32,8,A
Davey Lopes,450,6.109247583,255,70,7,49,35,43,15,N,E,51,54,8,N
Don Mattingly,1975,7.588323677,677,238,31,117,113,53,5,A,E,1377,100,6,A
Darryl Motley,,,227,46,7,23,20,12,5,A,W,92,2,2,A
Dale Murphy,1900,7.549609165,614,163,29,89,83,75,11,N,W,303,6,6,N
Dwayne Murphy,600,6.396929655,329,83,9,50,39,56,9,A,W,276,6,2,A
Dave Parker,1041.667,6.948577594,637,174,31,89,116,56,14,N,W,278,9,9,N
Dan Pasqua,110,4.700480366,280,82,16,44,45,47,2,A,E,148,4,2,A
Darrell Porter,260,5.560681631,155,41,12,21,29,22,16,A,W,165,9,1,A
Dick Schofield,475,6.163314804,458,114,13,67,57,48,4,A,W,246,389,18,A
Don Slaught,431.5,6.067267511,314,83,13,39,46,16,5,A,W,533,40,4,A
Darryl Strawberry,1220,7.106606138,475,123,27,76,93,72,4,N,E,226,10,6,N
Dale Sveum,70,4.248495242,317,78,7,35,35,32,1,A,E,45,122,26,A
Danny Tartabull,145,4.976733742,511,138,25,76,96,61,3,A,W,157,7,8,A
Dickie Thon,,,278,69,3,24,21,29,8,N,W,142,210,10,N
Denny Walling,595,6.388561406,382,119,13,54,58,36,12,N,W,59,156,9,N
Dave Winfield,1861.46,7.529116405,565,148,24,90,104,77,14,A,E,292,9,5,A
Enos Cabell,,,277,71,2,27,29,14,15,N,W,360,32,5,N
Eric Davis,300,5.703782475,415,115,27,97,71,68,3,N,W,274,2,7,N
Eddie Milner,490,6.194405391,424,110,15,70,47,36,7,N,W,292,6,3,N
Eddie Murray,2460,7.807916629,495,151,17,61,84,78,10,A,E,1045,88,13,A
Ernest Riles,,,524,132,9,69,47,54,2,A,E,212,327,20,A
Ed Romero,375,5.926926026,233,49,2,41,23,18,8,A,E,102,132,10,A
Ernie Whitt,,,395,106,16,48,56,35,10,A,E,709,41,7,A
Fred Lynn,,,397,114,23,67,67,53,13,A,E,244,2,4,A
Floyd Rayford,,,210,37,8,15,19,15,6,A,E,40,115,15,A
Franklin Stubbs,,,420,95,23,55,58,37,3,N,W,206,10,7,N
Frank White,750,6.620073207,566,154,22,76,84,43,14,A,W,316,439,10,A
George Bell,1175,7.069023427,641,198,31,101,108,41,5,A,E,269,17,10,A
Glenn Braggs,70,4.248495242,215,51,4,19,18,11,1,A,E,116,5,12,A
George Brett,1500,7.313220387,441,128,16,70,73,80,14,A,W,97,218,16,A
Greg Brock,385,5.953243334,325,76,16,33,52,37,5,N,W,726,87,3,A
Gary Carter,1925.571,7.562977826,490,125,24,81,105,62,13,N,E,869,62,8,N
Glenn Davis,215,5.370638028,574,152,31,91,101,64,3,N,W,1253,111,11,N
George Foster,,,284,64,14,30,42,24,18,N,E,96,4,4,N
Gary Gaetti,900,6.802394763,596,171,34,91,108,52,6,A,W,118,334,21,A
Greg Gagne,155,5.043425117,472,118,12,63,54,30,4,A,W,228,377,26,A
George Hendrick,700,6.551080335,283,77,14,45,47,26,16,A,W,144,6,5,A
Glenn Hubbard,535,6.282266747,408,94,4,42,36,66,9,N,W,282,487,19,N
Garth Iorg,362.5,5.893024474,327,85,3,30,44,20,8,A,E,91,185,12,A
Gary Matthews,733.333,6.597599896,370,96,21,49,46,60,15,N,E,137,5,9,N
Graig Nettles,200,5.298317367,354,77,16,36,55,41,20,N,W,83,174,16,N
Gary Pettis,400,5.991464547,539,139,5,93,58,69,5,A,W,462,9,7,A
Gary Redus,400,5.991464547,340,84,11,62,33,47,5,N,E,185,8,4,A
Garry Templeton,737.5,6.603266088,510,126,2,42,44,35,11,N,W,207,358,20,N
Gorman Thomas,,,315,59,16,45,36,58,13,A,W,0,0,0,A
Greg Walker,500,6.214608098,282,78,13,37,51,29,5,A,W,670,57,5,A
Gary Ward,600,6.396929655,380,120,5,54,51,31,8,A,W,237,8,1,A
Glenn Wilson,662.5,6.496020558,584,158,15,70,84,42,5,N,E,331,20,4,N
Harold Baines,950,6.856461985,570,169,21,72,88,38,7,A,W,295,15,5,A
Hubie Brooks,750,6.620073207,306,104,14,50,58,25,7,N,E,116,222,15,N
Howard Johnson,297.5,5.695414225,220,54,10,30,39,31,5,N,E,50,136,20,N
Hal McRae,325,5.783825182,278,70,7,22,37,18,18,A,W,0,0,0,A
Harold Reynolds,87.5,4.471638793,445,99,1,46,24,29,4,A,W,278,415,16,A
Harry Spilman,175,5.164785974,143,39,5,18,30,15,9,N,W,138,15,1,N
Herm Winningham,90,4.49980967,185,40,4,23,11,18,3,N,E,97,2,2,N
Jesse Barfield,1237.5,7.120848494,589,170,40,107,108,69,6,A,E,368,20,3,A
Juan Beniquez,430,6.063785209,343,103,6,48,36,40,15,A,E,211,56,13,A
Juan Bonilla,,,284,69,1,33,18,25,5,A,E,122,140,5,N
John Cangelosi,100,4.605170186,438,103,2,65,32,71,2,A,W,276,7,9,N
Jose Canseco,165,5.105945474,600,144,33,85,117,65,2,A,W,319,4,14,A
Joe Carter,250,5.521460918,663,200,29,108,121,32,4,A,E,241,8,6,A
Jack Clark,1300,7.170119543,232,55,9,34,23,45,12,N,E,623,35,3,N
Jose Cruz,773.333,6.650709745,479,133,10,48,72,55,17,N,W,237,5,4,N
Julio Cruz,,,209,45,0,38,19,42,10,A,W,132,205,5,A
Jody Davis,1008.333,6.916053751,528,132,21,61,74,41,6,N,E,885,105,8,N
Jim Dwyer,275,5.616771098,160,39,8,18,31,22,14,A,E,33,3,0,A
Julio Franco,775,6.652863029,599,183,10,80,74,32,5,A,E,231,374,18,A
Jim Gantner,850,6.74523635,497,136,7,58,38,26,11,A,E,304,347,10,A
Johnny Grubb,365,5.899897354,210,70,13,32,51,28,15,A,E,0,0,0,A
Jerry Hairston,,,225,61,5,32,26,26,11,A,W,132,9,0,A
Jack Howell,95,4.553876892,151,41,4,26,21,19,2,A,W,28,56,2,A
John Kruk,110,4.700480366,278,86,4,33,38,45,1,N,W,102,4,2,N
Jeffrey Leonard,100,4.605170186,341,95,6,48,42,20,10,N,W,158,4,5,N
Jim Morrison,277.5,5.625820933,537,147,23,58,88,47,10,N,E,92,257,20,N
John Moses,80,4.382026635,399,102,3,56,34,34,5,A,W,211,9,3,A
Jerry Mumphrey,600,6.396929655,309,94,5,37,32,26,13,N,E,161,3,3,N
Joe Orsulak,,,401,100,2,60,19,28,4,N,E,193,11,4,N
Jorge Orta,,,336,93,9,35,46,23,15,A,W,0,0,0,A
Jim Presley,200,5.298317367,616,163,27,83,107,32,3,A,W,110,308,15,A
Jamie Quirk,,,219,47,8,24,26,17,12,A,W,260,58,4,A
Johnny Ray,657,6.487684019,579,174,7,67,78,58,6,N,E,280,479,5,N
Jeff Reed,75,4.317488114,165,39,2,13,9,16,3,A,W,332,19,2,N
Jim Rice,2412.5,7.788418833,618,200,20,98,110,62,13,A,E,330,16,8,A
Jerry Royster,250,5.521460918,257,66,5,31,26,32,14,N,W,87,166,14,A
John Russell,155,5.043425117,315,76,13,35,60,25,3,N,E,498,39,13,N
Juan Samuel,640,6.461468176,591,157,16,90,78,26,4,N,E,290,440,25,N
John Shelby,300,5.703782475,404,92,11,54,49,18,6,A,E,222,5,5,A
Joel Skinner,110,4.700480366,315,73,5,23,37,16,4,A,W,227,15,3,A
Jeff Stone,,,249,69,6,32,19,20,4,N,E,103,8,2,N
Jim Sundberg,825,6.715383386,429,91,12,41,42,57,13,A,W,686,46,4,N
Jim Traber,,,212,54,13,28,44,18,2,A,E,243,23,5,A
Jose Uribe,195,5.272999559,453,101,3,46,43,61,3,N,W,249,444,16,N
Jerry Willard,,,161,43,4,17,26,22,3,A,W,300,12,2,A
Joel Youngblood,450,6.109247583,184,47,5,20,28,18,11,N,W,49,2,0,N
Kevin Bass,630,6.445719819,591,184,20,83,79,38,5,N,W,303,12,5,N
Kal Daniels,86.5,4.460144414,181,58,6,34,23,22,1,N,W,88,0,3,N
Kirk Gibson,1300,7.170119543,441,118,28,84,86,68,8,A,E,190,2,2,A
Ken Griffey,1000,6.907755279,490,150,21,69,58,35,14,A,E,96,5,3,N
Keith Hernandez,1800,7.495541944,551,171,13,94,83,94,13,N,E,1199,149,5,N
Kent Hrbek,1310,7.177782416,550,147,29,85,91,71,6,A,W,1218,104,10,A
Ken Landreaux,737.5,6.603266088,283,74,4,34,29,22,10,N,W,145,5,7,N
Kevin McReynolds,625,6.43775165,560,161,26,89,96,66,4,N,W,332,9,8,N
Kevin Mitchell,125,4.828313737,328,91,12,51,43,33,2,N,E,145,59,8,N
Keith Moreland,1043.333,6.950175675,586,159,12,72,79,53,9,N,E,181,13,4,N
Ken Oberkfell,725,6.586171655,503,136,5,62,48,83,10,N,W,65,258,8,N
Ken Phelps,300,5.703782475,344,85,24,69,64,88,7,A,W,0,0,0,A
Kirby Puckett,365,5.899897354,680,223,31,119,96,34,3,A,W,429,8,6,A
Kurt Stillwell,75,4.317488114,279,64,0,31,26,30,1,N,W,107,205,16,N
Leon Durham,1183.333,7.076090312,484,127,20,66,65,67,7,N,E,1231,80,7,N
Len Dykstra,202.5,5.310739887,431,127,8,77,45,58,2,N,E,283,8,3,N
Larry Herndon,225,5.416100402,283,70,8,33,37,27,12,A,E,156,2,2,A
Lee Lacy,525,6.263398263,491,141,11,77,47,37,15,A,E,239,8,2,A
Len Matuszek,265,5.579729826,199,52,9,26,28,21,6,N,W,235,22,5,N
Lloyd Moseby,787.5,6.668863371,589,149,21,89,86,64,7,A,E,371,6,6,A
Lance Parrish,800,6.684611728,327,84,22,53,62,38,10,A,E,483,48,6,N
Larry Parrish,587.5,6.375876246,464,128,28,67,94,52,13,A,W,0,0,0,A
Luis Rivera,,,166,34,0,20,13,17,1,N,E,64,119,9,N
Larry Sheets,145,4.976733742,338,92,18,42,60,21,3,A,E,0,0,0,A
Lonnie Smith,,,508,146,8,80,44,46,9,A,W,245,5,9,A
Lou Whitaker,420,6.040254711,584,157,20,95,73,63,10,A,E,276,421,11,A
Mike Aldrete,75,4.317488114,216,54,2,27,25,33,1,N,W,317,36,1,N
Marty Barrett,575,6.354370041,625,179,4,94,60,65,5,A,E,303,450,14,A
Mike Brown,,,243,53,4,18,26,27,4,N,E,107,3,3,N
Mike Davis,780,6.65929392,489,131,19,77,55,34,7,A,W,310,9,9,A
Mike Diaz,90,4.49980967,209,56,12,22,36,19,2,N,E,201,6,3,N
Mariano Duncan,150,5.010635294,407,93,8,47,30,30,2,N,W,172,317,25,N
Mike Easler,700,6.551080335,490,148,14,64,78,49,13,A,E,0,0,0,N
Mike Fitzgerald,,,209,59,6,20,37,27,4,N,E,415,35,3,N
Mel Hall,550,6.309918278,442,131,18,68,77,33,6,A,E,233,7,7,A
Mickey Hatcher,,,317,88,3,40,32,19,8,A,W,220,16,4,A
Mike Heath,650,6.476972363,288,65,8,30,36,27,9,N,E,259,30,10,A
Mike Kingery,68,4.219507705,209,54,3,25,14,12,1,A,W,102,6,3,A
Mike LaValliere,100,4.605170186,303,71,3,18,30,36,3,N,E,468,47,6,N
Mike Marshall,670,6.507277712,330,77,19,47,53,27,6,N,W,149,8,6,N
Mike Pagliarulo,175,5.164785974,504,120,28,71,71,54,3,A,E,103,283,19,A
Mark Salas,137,4.919980926,258,60,8,28,33,18,3,A,W,358,32,8,A
Mike Schmidt,2127.333,7.662624362,20,1,0,0,0,0,2,N,E,78,220,6,N
Mike Scioscia,875,6.774223886,374,94,5,36,26,62,7,N,W,756,64,15,N
Mickey Tettleton,120,4.787491743,211,43,10,26,35,39,3,A,W,463,32,8,A
Milt Thompson,140,4.941642423,299,75,6,38,23,26,3,N,E,212,1,2,N
Mitch Webster,210,5.347107531,576,167,8,89,49,57,4,N,E,325,12,8,N
Mookie Wilson,800,6.684611728,381,110,9,61,45,32,7,N,E,228,7,5,N
Marvell Wynne,240,5.480638923,288,76,7,34,37,15,4,N,W,203,3,3,N
Mike Young,350,5.857933155,369,93,9,43,42,49,5,A,E,149,1,6,A
Nick Esasky,,,330,76,12,35,41,47,4,N,W,512,30,5,N
Ozzie Guillen,175,5.164785974,547,137,2,58,47,12,2,A,W,261,459,22,A
Oddibe McDowell,200,5.298317367,572,152,18,105,49,65,2,A,W,325,13,3,A
Omar Moreno,,,359,84,4,46,27,21,12,N,W,151,8,5,N
Ozzie Smith,1940,7.570443252,514,144,0,67,54,79,9,N,E,229,453,15,N
Ozzie Virgil,700,6.551080335,359,80,15,45,48,63,7,N,W,682,93,13,N
Phil Bradley,750,6.620073207,526,163,12,88,50,77,4,A,W,250,11,1,A
Phil Garner,450,6.109247583,313,83,9,43,41,30,14,N,W,58,141,23,N
Pete Incaviglia,172,5.147494477,540,135,30,82,88,55,1,A,W,157,6,14,A
Paul Molitor,1260,7.138867,437,123,9,62,55,40,9,A,E,82,170,15,A
-Pete O'Brien,,,551,160,23,86,90,87,5,A,W,1224,115,11,A
Pete Rose,750,6.620073207,237,52,0,15,25,30,24,N,W,523,43,6,N
Pat Sheridan,190,5.247024072,236,56,6,41,19,21,5,A,E,172,1,4,A
Pat Tabler,580,6.363028104,473,154,6,61,48,29,6,A,E,846,84,9,A
Rafael Belliard,130,4.867534451,309,72,0,33,31,26,5,N,E,117,269,12,N
Rick Burleson,450,6.109247583,271,77,5,35,29,33,12,A,W,62,90,3,A
Randy Bush,300,5.703782475,357,96,7,50,45,39,5,A,W,167,2,4,A
Rick Cerone,250,5.521460918,216,56,4,22,18,15,12,A,E,391,44,4,A
Ron Cey,1050,6.956545443,256,70,13,42,36,44,16,N,E,41,118,8,A
Rob Deer,215,5.370638028,466,108,33,75,86,72,3,A,E,286,8,8,A
Rick Dempsey,400,5.991464547,327,68,13,42,29,45,18,A,E,659,53,7,A
Rich Gedman,,,462,119,16,49,65,37,7,A,E,866,65,6,A
Ron Hassey,560,6.327936784,341,110,9,45,49,46,9,A,E,251,9,4,A
Rickey Henderson,1670,7.420578905,608,160,28,130,74,89,8,A,E,426,4,6,A
Reggie Jackson,487.5,6.18929029,419,101,18,65,58,92,20,A,W,0,0,0,A
Ricky Jones,,,33,6,0,2,4,7,1,A,W,205,5,4,A
Ron Kittle,425,6.052089169,376,82,21,42,60,35,5,A,W,0,0,0,A
Ray Knight,500,6.214608098,486,145,11,51,76,40,11,N,E,88,204,16,A
Randy Kutcher,,,186,44,7,28,16,11,1,N,W,99,3,1,N
Rudy Law,,,307,80,1,42,36,29,7,A,W,145,2,2,A
Rick Leach,250,5.521460918,246,76,5,35,39,13,6,A,E,44,0,1,A
Rick Manning,400,5.991464547,205,52,8,31,27,17,12,A,E,155,3,2,A
Rance Mulliniks,450,6.109247583,348,90,11,50,45,43,10,A,E,60,176,6,A
Ron Oester,750,6.620073207,523,135,8,52,44,52,9,N,W,367,475,19,N
Rey Quinones,70,4.248495242,312,68,2,32,22,24,1,A,E,86,150,15,A
Rafael Ramirez,875,6.774223886,496,119,8,57,33,21,7,N,W,155,371,29,N
Ronn Reynolds,190,5.247024072,126,27,3,8,10,5,4,N,E,190,2,9,N
Ron Roenicke,191,5.252273428,275,68,5,42,42,61,6,N,E,181,3,2,N
Ryne Sandberg,740,6.606650186,627,178,14,68,76,46,6,N,E,309,492,5,N
Rafael Santana,250,5.521460918,394,86,1,38,28,36,4,N,E,203,369,16,N
Rick Schu,140,4.941642423,208,57,8,32,25,18,3,N,E,42,94,13,N
Ruben Sierra,97.5,4.579852378,382,101,16,50,55,22,1,A,W,200,7,6,A
Roy Smalley,740,6.606650186,459,113,20,59,57,68,12,A,W,0,0,0,A
Robby Thompson,140,4.941642423,549,149,7,73,47,42,1,N,W,255,450,17,N
Rob Wilfong,341.667,5.833836579,288,63,3,25,33,16,10,A,W,135,257,7,A
Reggie Williams,,,303,84,4,35,32,23,2,N,W,179,5,3,N
Robin Yount,1000,6.907755279,522,163,9,82,46,62,13,A,E,352,9,1,A
Steve Balboni,100,4.605170186,512,117,29,54,88,43,6,A,W,1236,98,18,A
Scott Bradley,90,4.49980967,220,66,5,20,28,13,3,A,W,281,21,3,A
Sid Bream,200,5.298317367,522,140,16,73,77,60,4,N,E,1320,166,17,N
Steve Buechele,135,4.905274778,461,112,18,54,54,35,2,A,W,111,226,11,A
Shawon Dunston,155,5.043425117,581,145,17,66,68,21,2,N,E,320,465,32,N
Scott Fletcher,475,6.163314804,530,159,3,82,50,47,6,A,W,196,354,15,A
Steve Garvey,1450,7.279318835,557,142,21,58,81,23,18,N,W,1160,53,7,N
Steve Jeltz,150,5.010635294,439,96,0,44,36,65,4,N,E,229,406,22,N
Steve Lombardozzi,105,4.65396035,453,103,8,53,33,52,2,A,W,289,407,6,A
Spike Owen,350,5.857933155,528,122,1,67,45,51,4,A,W,209,372,17,A
Steve Sax,90,4.49980967,633,210,6,91,56,59,6,N,W,367,432,16,N
Tony Armas,,,16,2,0,1,0,0,2,A,E,247,4,8,A
Tony Bernazard,530,6.272877007,562,169,17,88,73,53,8,A,E,351,442,17,A
Tom Brookens,341.667,5.833836579,281,76,3,42,25,20,8,A,E,106,144,7,A
Tom Brunansky,940,6.845879875,593,152,23,69,75,53,6,A,W,315,10,6,A
Tony Fernandez,350,5.857933155,687,213,10,91,65,27,4,A,E,294,445,13,A
Tim Flannery,326.667,5.788941303,368,103,3,48,28,54,8,N,W,209,246,3,N
Tom Foley,250,5.521460918,263,70,1,26,23,30,4,N,E,81,147,4,N
Tony Gwynn,740,6.606650186,642,211,14,107,59,52,5,N,W,337,19,4,N
Terry Harper,425,6.052089169,265,68,8,26,30,29,7,N,W,92,5,3,A
Toby Harrah,,,289,63,7,36,41,44,17,A,W,166,211,7,A
Tommy Herr,925,6.829793738,559,141,2,48,61,73,8,N,E,352,414,9,N
Tim Hulett,185,5.220355825,520,120,17,53,44,21,4,A,W,70,144,11,A
Terry Kennedy,920,6.82437367,19,4,1,2,3,1,1,N,W,692,70,8,A
Tito Landrum,286.667,5.658321263,205,43,2,24,17,20,7,N,E,131,6,1,N
Tim Laudner,245,5.501258211,193,47,10,21,29,24,6,A,W,299,13,5,A
-Tom O'Malley,,,181,46,1,19,18,17,5,A,E,37,98,9,A
Tom Paciorek,235,5.459585514,213,61,4,17,22,3,17,A,W,178,45,4,A
Tony Pena,1150,7.047517221,510,147,10,56,52,53,7,N,E,810,99,18,N
Terry Pendleton,160,5.075173815,578,138,1,56,59,34,3,N,E,133,371,20,N
Tony Perez,,,200,51,2,14,29,25,23,N,W,398,29,7,N
Tony Phillips,425,6.052089169,441,113,5,76,52,76,5,A,W,160,290,11,A
Terry Puhl,900,6.802394763,172,42,3,17,14,15,10,N,W,65,0,0,N
Tim Raines,,,580,194,9,91,62,78,8,N,E,270,13,6,N
Ted Simmons,500,6.214608098,127,32,4,14,25,12,19,N,W,167,18,6,N
Tim Teufel,277.5,5.625820933,279,69,4,35,31,32,4,N,E,133,173,9,N
Tim Wallach,750,6.620073207,480,112,18,50,71,44,7,N,E,94,270,16,N
Vince Coleman,160,5.075173815,600,139,0,94,29,60,2,N,E,300,12,9,N
Von Hayes,1300,7.170119543,610,186,19,107,98,74,6,N,E,1182,96,13,N
Vance Law,525,6.263398263,360,81,5,37,44,37,7,N,E,170,284,3,N
Wally Backman,550,6.309918278,387,124,1,67,27,36,7,N,E,186,290,17,N
Wade Boggs,1600,7.377758908,580,207,8,107,71,105,5,A,E,121,267,19,A
Will Clark,120,4.787491743,408,117,11,66,41,34,1,N,W,942,72,11,N
Wally Joyner,165,5.105945474,593,172,22,82,100,57,1,A,W,1222,139,15,A
Wayne Krenchicki,,,221,53,2,21,23,22,8,N,E,325,58,6,N
Willie McGee,700,6.551080335,497,127,7,65,48,37,5,N,E,325,9,3,N
Willie Randolph,875,6.774223886,492,136,5,76,50,94,12,A,E,313,381,20,A
Wayne Tolleson,385,5.953243334,475,126,3,61,43,52,6,A,W,37,113,7,A
Willie Upshaw,960,6.866933285,573,144,9,85,60,78,8,A,E,1314,131,12,A
Willie Wilson,1000,6.907755279,631,170,9,77,44,31,11,A,W,408,4,3,A
